もちろん、音声ファイルの文字起こしを承ります。

[00:14] （聞き取り不明）
[00:25] （聞き取り不明）
[00:43] （聞き取り不明）
[00:54] （聞き取り不明）
[01:06] （聞き取り不明）
[01:14] （聞き取り不明）
[01:21] （聞き取り不明）
[01:31] （聞き取り不明）
[01:40] （聞き取り不明）
[28:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:23] 話者A: はい、お疲れ様です。
[28:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:26] 話者A: はい、お疲れ様でした。
[28:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:29] 話者A: はい、お疲れ様です。
[28:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:32] 話者A: はい、お疲れ様でした。
[28:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:35] 話者A: はい、お疲れ様です。
[28:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:38] 話者A: はい、お疲れ様でした。
[28:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:41] 話者A: はい、お疲れ様です。
[28:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:44] 話者A: はい、お疲れ様でした。
[28:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:47] 話者A: はい、お疲れ様です。
[28:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:50] 話者A: はい、お疲れ様でした。
[28:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:53] 話者A: はい、お疲れ様です。
[28:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:56] 話者A: はい、お疲れ様でした。
[28:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:59] 話者A: はい、お疲れ様です。
[29:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:02] 話者A: はい、お疲れ様でした。
[29:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:05] 話者A: はい、お疲れ様です。
[29:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:08] 話者A: はい、お疲れ様でした。
[29:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:11] 話者A: はい、お疲れ様です。
[29:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:14] 話者A: はい、お疲れ様でした。
[29:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:17] 話者A: はい、お疲れ様です。
[29:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:20] 話者A: はい、お疲れ様でした。
[29:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:23] 話者A: はい、お疲れ様です。
[29:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:26] 話者A: はい、お疲れ様でした。
[29:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:29] 話者A: はい、お疲れ様です。
[29:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:32] 話者A: はい、お疲れ様でした。
[29:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:35] 話者A: はい、お疲れ様です。
[29:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:38] 話者A: はい、お疲れ様でした。
[29:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:41] 話者A: はい、お疲れ様です。
[29:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:44] 話者A: はい、お疲れ様でした。
[29:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:47] 話者A: はい、お疲れ様です。
[29:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:50] 話者A: はい、お疲れ様でした。
[29:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:53] 話者A: はい、お疲れ様です。
[29:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:56] 話者A: はい、お疲れ様でした。
[29:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[29:59] 話者A: はい、お疲れ様です。
[30:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:02] 話者A: はい、お疲れ様でした。
[30:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:05] 話者A: はい、お疲れ様です。
[30:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:08] 話者A: はい、お疲れ様でした。
[30:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:11] 話者A: はい、お疲れ様です。
[30:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:14] 話者A: はい、お疲れ様でした。
[30:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:17] 話者A: はい、お疲れ様です。
[30:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:20] 話者A: はい、お疲れ様でした。
[30:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:23] 話者A: はい、お疲れ様です。
[30:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:26] 話者A: はい、お疲れ様でした。
[30:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:29] 話者A: はい、お疲れ様です。
[30:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:32] 話者A: はい、お疲れ様でした。
[30:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:35] 話者A: はい、お疲れ様です。
[30:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:38] 話者A: はい、お疲れ様でした。
[30:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:41] 話者A: はい、お疲れ様です。
[30:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:44] 話者A: はい、お疲れ様でした。
[30:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:47] 話者A: はい、お疲れ様です。
[30:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:50] 話者A: はい、お疲れ様でした。
[30:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:53] 話者A: はい、お疲れ様です。
[30:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[30:56] 話者A: はい、お疲れ様でした。
[30:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[06:04] （聞き取り不明）
[06:05] （聞き取り不明）
[06:06] （聞き取り不明）
[06:07] （聞き取り不明）
